categorie,question,A,B,C,bonne_reponse,commentaire,source
Cat C - Bases comptables et financieres,Quelle affirmation concernant la comptabilité est exacte ?,La comptabilité n'est utile que pour l'AMF,Le bilan et le compte de résultat sont regroupés dans la liasse fiscale,Seuls les flux de trésorerie sont enregistrés,B,"La liasse fiscale est un ensemble de documents comptables fournis à l'administration fiscale. Elle inclut effectivement le bilan, qui résume les actifs et passifs de l'entreprise, ainsi que le compte de résultat, qui détaille ses revenus et dépenses sur un exercice.",Plan comptable de l'Autorité des Normes Comptable général Livre IV Titre VIII Chapitre 4 section 2
Cat C - Bases comptables et financieres,Sont soumises à l'impôt sur la fortune immobilière (IFI) :,"Les personnes physiques ayant leur domicile fiscal en France, à raison de leurs biens et droits immobiliers situés en France ou hors de France","Les personnes physiques et morales ayant leur domicile fiscal en France, à raison de leurs biens et droits immobiliers situés en France","Les personnes physiques ayant leur domicile fiscal en France, uniquement à raison de leurs biens et droits immobiliers situés en France",A,"L'IFI cible les résidents fiscaux français en taxant leurs propriétés immobilières, incluant à la fois les biens situés localement et à l'étranger, reflétant ainsi le principe de mondialité de l'impôt basé sur la résidence fiscale.",L'article 964 du code général des impôts
Cat C - Bases comptables et financieres,"Vis-à-vis du marché, les sociétés cotées sur un marché réglementé ont des obligations d'informations périodiques relatives :",Au taux de détention d'actions détenues par chaque salarié de l'entreprise,A l'âge de leurs dirigeants,A leur niveau d'activité et à leur situation financière,C,"Les entreprises cotées sont tenues de communiquer ces informations pour assurer la transparence et permettre aux investisseurs de prendre des décisions éclairées, tout en respectant les règlementations des autorités de marché qui visent à protéger les intérêts des actionnaires et du public.",Art 221-1 et suivants du règlement général de l'AMF
Cat C - Bases comptables et financieres,La marge commerciale :,Est égale au résultat net,Est la différence entre le montant des ventes de marchandises et leur coût d'achat,Est la différence entre le montant des ventes de marchandises et leur coût d'achat majoré des frais de personnel,B,"La marge commerciale mesure le profit réalisé sur les marchandises vendues. Calculée comme la différence entre les revenus des ventes et le coût d'acquisition des marchandises, elle indique la rentabilité directe des produits vendus.","Ouvrage Finance d'entreprise 2019 - Pierre vernimmen, Pascal Quiry, Yann Le fur - Editions Dalloz, chapitre 10 - L'analyse des marges : structure, point 10.14"
Cat C - Bases comptables et financieres,Pendant combien de temps les documents comptables et les pièces justificatives doivent-ils être conservés par les entreprises après la clôture de l'exercice ?,Deux ans,Cinq ans,Dix ans,C,"Les documents comptables doivent être conservés dix ans pour permettre la vérification fiscale et résoudre les litiges potentiels, conformément aux réglementations légales en vigueur qui exigent une période de conservation suffisante pour couvrir la plupart des délais de prescription.","Article L 123-22, alinéa 2 c. com."
Cat C - Bases comptables et financieres,Les comptes annuels d'une société cotée sont certifiés par :,Les commissaires aux comptes,L'autorité des Normes Comptables (ANC),L'expert comptable,A,Les commissaires aux comptes sont des auditeurs externes indépendants qui vérifient et certifient l'exactitude des comptes annuels d'une société pour assurer la fiabilité de l'information financière divulguée aux actionnaires et au public.,Code de commerce art. L. 823-12-1
Cat C - Bases comptables et financieres,Quel est le sort des moins-values subies à l'occasion de cessions de valeurs mobilières ?,Elles ne sont plus récupérables,Elles sont imputables sur les plus-values de même nature pendant 10 ans,Elles sont imputables sur les revenus pendant 10 ans,B,"Les moins-values réalisées peuvent compenser les plus-values sur les valeurs mobilières pour atténuer l'impôt dû. Ce report est possible pendant une période de 10 ans, permettant d'optimiser l'impact fiscal sur plusieurs années.",Article 150-0 D 7° Al 11 du code général des impôts
Cat C - Bases comptables et financieres,Le bilan comptable d'une entreprise :,Complète et commente l'information donnée par le compte de résultat,"Récapitule les produits et les charges de l'exercice, sans qu'il soit tenu compte de leur date d'encaissement ou de paiement","Décrit séparément les éléments actifs et passifs de l'entreprise, et fait apparaître, de façon distincte, les capitaux propres",C,"Le bilan comptable est un document financier qui récapitule à un moment donné ce que l'entreprise possède (actifs) et ce qu'elle doit (passifs). Les capitaux propres sont présentés séparément comme une partie des passifs, montrant la valeur nette détenue par les actionnaires.",Article L 123-13 c. com.
Cat C - Bases comptables et financieres,"En comptabilité, qu'est-ce qu'une provision ?",Une provision est un passif dont l'échéance ou le montant n'est pas fixé de façon précise,Une provision est un passif dont l'échéance et le montant sont fixés de façon précise,Une provision est un actif,A,Une provision représente une estimation d'une future charge incertaine. Elle est comptabilisée pour anticiper des pertes ou des dépenses potentielles dont les détails exacts (comme la date ou le montant) ne sont pas encore définis avec certitude. Cela permet de respecter le principe de prudence en comptabilité.,PCG Art. 212-2
Cat C - Bases comptables et financieres,Quel poste parmi les suivants figure au passif du bilan comptable d 'une société ?,Les dettes fournisseurs,Les créances clients,Les stocks,A,"Les dettes fournisseurs représentent les sommes dues aux fournisseurs pour des biens ou services reçus. Au passif du bilan, on enregistre les obligations financières de l'entreprise, ce qui inclut les dettes envers les fournisseurs.",REGLEMENT Autorité des Normes Comptables N° 2014-03 RELATIF AU PLAN COMPTABLE GENERAL
Cat C - Bases comptables et financieres,Les plus-values immobilières imposables réalisées par un particulier sont soumises :,Au barème progressif de l'impôt sur le revenu,Au taux forfaitaire de 19 %,Au taux forfaitaire de 21 %,B,"En France, les plus-values immobilières réalisées par un particulier lors de la vente de biens immobiliers sont soumises à l'impôt au taux forfaitaire de 19 %, conformément à la loi fiscale en vigueur. Ce taux s'applique avant les prélèvements sociaux, qui sont calculés séparément.","CGI, art. 150 U à 150 VH"
Cat C - Bases comptables et financieres,Comment sont imposés les dividendes encaissés par des personnes physiques ?,Uniquement au barème progressif de l'impôt sur le revenu,"Au choix du contribuable, au barème progressif de l'impôt sur le revenu ou au prélèvement forfaitaire libératoire (PFL)","Soit au prélèvement forfaitaire unique (PFU), soit au barème progressif de l'impôt sur le revenu",C,"Les dividendes reçus par des particuliers sont imposables en France. Ils peuvent opter pour le PFU, également appelé ' flat tax ' , à un taux de 30% incluant prélèvements sociaux, ou choisir l'imposition selon le barème progressif de l'impôt sur le revenu, ce qui permet une taxation selon leur tranche marginale.","CGI, art. 117 quater et s."
Cat C - Bases comptables et financieres,Le compte de résultat d'une entreprise :,"Récapitule les éléments actifs et passifs de l'entreprise, et fait apparaître, de façon distincte, les capitaux propres","Récapitule les produits et les charges de l'exercice, sans qu'il soit tenu compte de leur date d'encaissement ou de paiement",Récapitule les produits et les charges de l'exercice en prenant en compte leur date d'encaissement ou de paiement,B,"Le compte de résultat fonctionne sur la base de l'engagement, enregistrant les revenus générés et les dépenses encourues durant l'exercice financier concerné, indépendamment du moment où l'argent est effectivement reçu ou dépensé. Cela permet de mieux refléter la performance économique de l'entreprise pour cette période.","Article L123-13, alinéa 2 c. com."
Cat C - Bases comptables et financieres,"Parmi les Soldes Intermédiaires de Gestion déterminés d 'après le compte de résultat de l 'entreprise, lequel est égal à la Valeur Ajoutée moins le montant des charges de personnel, les impôts et les taxes de l 'entreprise ?",L'Excédent Brut d 'Exploitation (EBE),Le résultat net,La marge commerciale,A,"L'Excédent Brut d'Exploitation (EBE) mesure la performance économique de l'entreprise hors coût du travail et taxes, c’est pourquoi on le calcule en soustrayant les charges de personnel et les impôts de la Valeur Ajoutée.","Vernimmen ' le diagnostic financier : analyse et prévisions ' , p. 204, Edition 2020"
Cat C - Bases comptables et financieres,Les droits de succession et de donation sont calculés :,Sur la part nette (après déduction des dettes) du patrimoine revenant à chaque bénéficiaire avant abattements,Sur la part nette (après déduction des dettes) du patrimoine revenant à chaque bénéficiaire après abattements,Forfaitairement,B,"Les droits de succession et de donation sont basés sur ce que chaque héritier reçoit nettement, donc après que les dettes du défunt sont soustraites et que les abattements légaux sont appliqués. Cela assure que les taxes sont évaluées sur la valeur réelle reçue par chaque bénéficiaire.",BOI-ENR-DMTG-10-50
